"Name","Level","Age","RW hits Average","Total","Speed","Strength","Defense","Dexterity","Spy Date","Xanax Total","Xanax Avg","Total Time Active","Time Active Raw","TIme Active Recent","Time Active Recent Raw","Refill Total","Refill Diff"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2151656"", ""Kasto [2151656]"")","99","1943","0","865104867","411779956","154905167","298403436","16308","2022-08-20T22:00:00.000Z","2,572","2.8","154 days 15 hours ","13362398","6 days 23 hours ","603969","906","30"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2174792"", ""Undead_Warrior- [2174792]"")","80","1866","0","49593427","8198182","23125572","10477690","7791983","2022-11-14T23:00:00.000Z","1,313","1.9","33 days 13 hours ","2900138","19 hours 17 minutes ","69478","332","27"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2191868"", ""SUDZ [2191868]"")","100","1826","0","1210340469","304486413","294535591","300127795","311190670","2023-06-11T22:00:00.000Z","2,691","1.57","172 days 5 hours ","14879319","2 days 21 hours ","249704","812","22"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2260087"", ""ExportTHC [2260087]"")","74","1712","0","","","","","","undefined","1,519","2.33","48 days 10 hours ","4185247","1 day 6 hours ","109977","351","30"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2292173"", ""Jayadev [2292173]"")","100","1657","0","2446585930","747312589","647835245","1051263894","174202","2021-12-17T23:00:00.000Z","4,408","2.73","140 days 4 hours ","12110984","2 days 16 hours ","230441","1,519","31"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2326911"", ""kohho240890 [2326911]"")","91","1609","0","","","","","","undefined","3,304","3.1","60 days 21 hours ","5259867","23 hours 51 minutes ","85883","962","31"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2349813"", ""Infiabledoom [2349813]"")","92","1568","0","1599792142","350815153","","","","2022-09-05T22:00:00.000Z","3,304","2.8","72 days 4 hours ","6236842","1 day 3 hours ","99562","1,227","31"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2357694"", ""Doobietime [2357694]"")","70","1554","0","2166365769","598680992","606209051","202430150","759045576","2023-02-24T23:00:00.000Z","3,752","3.23","137 days 16 hours ","11895505","1 day 19 hours ","157741","1,220","31"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2458636"", ""AuraNoir [2458636]"")","85","1410","0","","","","","","undefined","2,254","1.97","52 days 5 hours ","4513536","18 hours 22 minutes ","66169","497","25"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2490315"", ""Ghnat [2490315]"")","85","1371","0","790132359","203228111","237836590","51324507","297743151","2022-09-26T22:00:00.000Z","2,250","2.47","110 days 2 hours ","9514047","2 days 5 hours ","193600","734","30"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2516215"", ""sampert [2516215]"")","94","1330","0","","","","","","undefined","2,592","2.7","132 days 2 hours ","11413823","3 days 3 hours ","270825","954","29"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2526617"", ""butts [2526617]"")","91","1316","0","","","","","","undefined","2,801","2.4","64 days 8 hours ","5558598","1 day 7 hours ","113466","746","30"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2557394"", ""roque [2557394]"")","97","1274","0","1557185553","300532844","400198312","556152748","300301649","2022-09-26T22:00:00.000Z","2,859","2.67","60 days ","5186412","1 day 15 hours ","141135","1,147","32"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2601877"", ""Fone [2601877]"")","77","1172","0","","","","","","undefined","3,065","2.83","51 days 6 hours ","4429412","1 day 21 hours ","163558","1,107","32"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2607832"", ""Cloudia [2607832]"")","66","1146","0","","","","","","undefined","1,867","1.87","49 days 7 hours ","4260111","1 day 8 hours ","116367","970","28"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2625752"", ""Ember_Wolf666 [2625752]"")","80","1085","0","42602197","15360483","15581527","1246157","10414030","2021-12-17T23:00:00.000Z","2,285","1.93","40 days 14 hours ","3509621","16 hours 50 minutes ","60617","837","31"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2725025"", ""DuckDiggler [2725025]"")","79","757","0","","","","","","undefined","1,831","2.7","197 days 7 hours ","17046811","4 days 14 hours ","397236","586","32"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2752256"", ""Mortas [2752256]"")","67","652","0","","","","","","undefined","1,407","2.73","37 days 23 hours ","3280389","2 days 19 hours ","244191","525","27"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=2799987"", ""PluckyHero [2799987]"")","65","487","0","","","","","","undefined","1,257","3.17","47 days 11 hours ","4100754","3 days 12 hours ","305803","397","32"
